Text,Language
"'Maa ngi tàmbale samay wax ak jëf ci turu Yàlla miy kiy boroom yërmande ju yaa ji ci adduna ak ja ca allaaxiraa",wo
"Yal na Yàlla dolli xéewal ak mucc ci suñu sàng Muhammad ak ci ñoñam aki saabaam ci anam yu sax Yàlla doy na ñu, moom de wéeruwaay wu baax la, wu mat a wéer say mbir, joyal ko ko",wo
"Jëf yaa ngi ci yéene yi, ku nekk it la nga yéeneey sag pay",wo
"Bokk na ci hikam (sagesse) : ku sàkku mbir de bu ca saxee am ko",wo
"Ku fëgg bunt it boo fa saxee ubbilees la",wo
"Bokk na ci hikma ba téy: ku tëyye boppam wëlif neen yi (caaxaan yi) limees ko mu bokk ci boroom xel yi",wo
"Bokk na ci ba leegi: ku dul merloo boppam du begloo boroomam",wo
"Bokk na ci ba téy : ku def la ko soob dajeek la ko naqari",wo
"Bokk na ci: ku taqook jiyaar ak bakkanam, texe fa biir bàmmeelam",wo
"Bokk na ci : ku topp Yonnant bi, am gën ji la mu ñaan",wo
"Am ku jël maanaa yii yépp boole leen ci wenn bayit : képp ku woor wëlif caaxaan yi danga dogi ciy ngënéel",wo
"Taalif wiTaaliif wii nag lu ñu barkeel la ci njëlbéen gi ba ca dayo ba",wo
"Moom nag, ki waxoon bayit wu njëkk wi –yal nañu ko dolli ag bëbb (xéewal) – am na ba tay weneen bayit wu yor maanaa, mu ciy nos (woy) maanaam waxi sëriñam ji, wax jooju mooy jii : (nguurug neen waxtu rekk la, nguurug dëgg nag day wey ba yawmal-xiyaam)",wo
"Woy waa ngii : dëgg day sax , neen nag bu kawe woon it day mujj naaxsaay, mujj suufe",wo
"Maa ngi tàmbale samay wax ak jëf ci turu Yàlla miy boroom yërmande ju yaa ji ci adduna ak ja mu ñu jagleele ji ca allaaxiraa Ubbite giKii di doomi sëriñam ji dul sànt ci boppam lu dul turam wu tedd wa, Muhammad,Kii de mi ngi sant Yàlla",wo
"mi suturaal ay ayibam te taxawu ko te dimbali ko",wo
"Tudd naa sellam ga moom de Boroom bu tedd la bob may na ma lu waral ma koy sànt",wo
"Moom de mooy ki def ay teggin yu raf muy luy làq ag reer ak judd bu ñaaw (bonu askan)",wo
"Mooy ki jagleel boroom xam-xam yeek teggin, mooy ki léen jagleel ab yool akug jam-jub (def la jub)",wo
"Xéewal ak mucc gu kawe nañu sottiku ca ka yéegoon ca Alburaax",wo
"Kooku mooy suñu sàng biy woote jëme ci Aji-bind ji (Ki sàkk mbindeef yi), defee ko nag ci gën jaa rafeti teggin yi",wo
"Kooku mooy Muhammad ak ñoñam ñi di woroomug raw ak saabaam yi làq ngënéelul Aji-des-ji (Yàlla mi fi dul jug)",wo
"Ñoom saaba yooyu de saxaloon nañu ag laa-biire ci lu dul ηaayoo , ndaxte dañoo toroxaloon seeni bakkan ba far leen moom",wo
"Sànkoon nañu seeni alal cig joxe ci lu dul ngistal mbaa naaféq",wo
"Ñu sukkandiku woon ci Aji-jariñ (Yàlla) jiy Aji-wërsëgale, ngir ag wakkiirlu ci moom ci mbooleem wërsëg yi",wo
"Ñoom de dañoo boyoon jëm alaaxlenniraa ngir ne dañoo fase woon wujj wa (adduna)",wo
"Masuñoo bàyyi lenn ndigal lu juge ci Aji-settantal ji (kiy def mbir yi di Yalla), kiy Aji-bind ji",wo
"Ñoom de – ci safaanub ñuy bàyyi ndigal yi – dañu ciy sax ànd ceek bànneex, ndaxte koomum ja du tax ñu koy fàtte (alal ji ñuy jële ci marse yi duñu tax ñuy fàtte ndigali suñu boroom yi)",wo
"Wuññi woon nañu lëndëm-lëndëmi gox yi ci xam-xam ak jëf ak dëppoo",wo
"Ndaw ñu di sàng yu ñaw !ñoom de la neexoon ca cafka ga jël navu ko",wo
"Yal na ngërëm – lol di naa ci dajeek ëlëg ka làq cang gu joyu ga – sottiku ci seen kaw",wo
"Kooka mooy Muhammad, yal na ko Aji-des-ji sotti ay xéewal ak mucc mook ñoñam ak saabaam yi di ay ndab yuy duy xam-xam aki xeewal aki hikam Li waral xasida giMan dey téy damaa ñëw ngir wuyyu lenn ci murid yi di woroomi tuub (ñiy tuub ak a jéggalu seen Boroom)",wo
"Ñoom de dañoo sàkku woon ñu defal leen woy wuy jàngale ay teggin, ngir ñu sàkkoo ciy teggin, te loolu wartéef la",wo
"Ndax kat képp ku bëgg a topp Yonnant bi te tegoo ko ciy teggin dees na ko xañ ag texe akug jariñu",wo
"Moom teggiin de – ci àdduna ak allaaxiraa – mooy gën ji ndàmb tey gën ji lu ku tedd di tedde",wo
"Ndaxte mooy leeral ab xol tey jegeele àjjana",wo
"Dina waral say dëkkandoo di la tàgg te dina sooreel it sawara",wo
"Ma daal di jug ngir sàkku gi ñu ko sàkku woon ci man gaawantu, tontu leen, di ci sàkku nag ab yool ak ngërëm",wo
"Moom nag du lu dul jël la Waliya wa tuddoon Dal-Haaji wesaroon (manaam la mu bindoon te woyu ko, maanaam defu ko woon ay bayit) def ko ay woy, di ñaan ci def gi Yàlla fajal ma samay aajo Lu tax ma taamu ko ?Ndax dafa boole – ba noppi gàttal ko – li ëpp ci li taalifkat yu njëkk ya bindoon cig tàqale",wo
"Lépp loo gis mu néew te doy moo gën lu bari te sonnale",wo
"Def naa ko nag woy wu ami njariñ, ci baaxug Yàlla mi dige ci Alxuraan ne dana aar ñi gëm",wo
"Ndax Yàlla may ma ci ngërëm ak kóolute ak njéggal ca bisub njàqare ba",wo
"Kon kat yeen sàkkukati xam-xam yi maa ngi leen di dénk te dellu di leen dénk te di leen xiirtal ci tontu bii (téere Nahju bii) Ndax kat yor na ci ay jikko aki teggin lool: bu ngeen ci tënkoo dina leen wommat jëme leen ca jub ga",wo
"Ay gindee ngi ci aki njariñ yooy boroomug-nammeel (ab murid) du ci yoqat mukk",wo
"Kuy door a dal ak kaaηfóoree yam ciy njariñam, aw yiiwam it du jeex mukk",wo
"Ndaxte ni ñuy àgge ci Gën-jaa-rafeti jikko yi mi ngi ci ak ca (lu baax) la ñuy mébët",wo
"Maa ngi ko tudde: Nahju QadaaAl Haaji ci góob mbayum suñu sëriñ bii di Dal-Haaj",wo
"Maa ngi ñaan Yàlla mu nangu ko ca baaxam ga te àggale liggéey bi",wo
"Di ko ñaan it mu mel ne turam wi, ba ki koy jàng ay mbiram man cee yéweene ngir mu texe",wo
"Te mu musal ma ci ngistal ak aaw (naw sa jëf) ci barkeeb Yonnant biy Boroom Liwaaul Hamdi ak yu dul ñoom ñaar ci caay-caay yi (bon-bon yi) te mu may ma ay ngënéel",wo
"Te mu musal ma",wo
"ba fàwwu ci ayuw Ibliis mii nga xam ne dafa féttéerlu",wo
"Te mu musal ma ci ayu li mu bind ci suuf si, ak li mu bind ci asamaan si ak li nekk ci seen diggante ñoom ñaar",wo
"Te mu may ma ma topp ci sunnas Yonnant bi",wo
"miy Gën-ji-mbindéef , miy ku ñu ramuloo, miy ku ñu topp ginnaaw bi mu jullee ci moom te sëlmël ci, ak ñoñam aki saabaam ci anam gu dul dog",wo
"Fii nag mooy fi tarjumaani téere bi yam, kon leegi nanu jublu ci (indil leen) teggiin yi",wo
"ndoorte li Ngir woy, nos lii di wesaru Seex Amaadu – mii di ku géeju ci xam-xam – maa ngi naan : Yeen mbooleem waay-sàkku yi xam-xam déglu leen sama laabiire gii di leen tàqaleek ag texeedi Mu di laabiire gog dañu leen koo jëmme ngir jëmmi Yàlla rekk, muy yee nag jépp aji-xellu ak ku jamuj(fàtte):Yoonu teggiin de mooy yërëm ndaw, ni ko baayam di yërëme ak ndayam te weg mag ak def sa moroom ni sa bopp ngir jëmmi Yàlla mi nekk ca aras (toogu ba)’ saraab aji taalif ji",wo
"Yoonu teggiin mooy nga yërëm ndaw mel ci moom ni baayam ba ko jur te am lool ci moom yërmande, te mel ci ne ndayam ju am ja ag ñeewant, nga weg it mag ak doonte da di ab jaam bu bawoo Abasa (Ecopi) , te nga yamale sa bopp ak sa moroom ngir jëmmi Yàlla kepp",wo
"Xamal ni teggin de mooy taarub boroom xam-xam ak ku koy sàkku, mooy it takkaayiaji -xellu ak ku lewet, mooy njobbaxtalu jikko yi, ku ko takkaayoowul yoqéel na, ñàkk na ay takkaay, te neenal, dana mujj di ku Ki bind bañ ak ñi mu bind -Yàlla aki mbindéefam",wo
"Képp ku ko gis bañ ko te sànj ko (mere ko), képp ku toog ak moom am ci moom ag yoqat akug doyal",wo
"Bokk na ciy teggin ngay laabiire koo gis ca la nga gis ne ag jubam a nga ca, te ngay bañ a yayale sa bopp jenn àq ci kenn, te nga jort it ne yayoowoo ci kenn mu lay màggal ci lenn",wo
"Loolu nag mooy li mu junj ci waxam jii : Na ngay yërëm goneNangay yërëm gone, rikk, bu ko nëbbal benn yoon genn laabiire gu aw yiwam nekk",wo
"Deel weg mag doonte da di ku doyadi te xeebu",wo
"Bokk na ci ay teggiin nga bañ a njort ne yayoo nga jenn àq ci kenn ku mu man a doon",wo
"Te nga bañ a séentu genn màggal mbaa wormaal wu jóge ci kenn (kok man nay mer sax ci màggal gi mu lay màggal)",wo
"Yaw daal jortal ne teggin yépp ci yaw la war a bawoo, bu leen seentu mukk ci say àndandoo",wo
"Àndal ak nit ñi ni nga bëgge ñu ànde ko ak yaw",wo
"Saraab aji taalif ji : li mu namm a wax mooy :Bokk na ci teggiin yu rafet nga jort ne ay teggiin moom ci yaw rekk la war a juge, te nga bañ di ko seentu ci ku dul yaw",wo
"Te ngay ànd ak nit ñi ci jikko yu baax yi nga bëgg ñu ànde kook yaw; boo ko deful it jikko yoo ànde ak ñoom ci yu bon séentu ko ci ñoom, nit ñi daal ni nga mel ak ñoom rekk lañuy mel ak yaw",wo
"Na ngay sàmmoonteek aqi (Yàlla) – Boroom màgg giy Boroom kàttan gi – ci ñoom ngir jëmmam ja moom Yàlla ni waxi woykat ba",wo
"Mu bëgg a wax rekk ne bokk na ci teggiin yu rafet ngay sammoonte ci mbindéef yi àqi Ki leen bind",wo
"ci di àndeek ñoom ni ko woykat bi waxe ca qasidaam ga yor bahru basiit:Yaw mbokk mi na ngay am yërmande ci mbooleem mbindéef yi, nanga leen di xoole bëtub ñeewant ak yërmande",wo
"Na ngay weg mag di yërëm gone, tey sammoontek àqi aji bind ji ci mépp mbindéef",wo
"Am na addiis bu naan : sama xeet wi de du dañ di nekk ciw yiiw féek ku ndaw a ngi ci weg mag, mag di ci yërëm gone",wo
"Kon rikk na nga di roy ci gindig Imaam yi",wo
"kon de di nga gindiku",wo
"Bul di toogandook ku la mag ci lu dul lu manul a ñàkk(loola mooy lu mel ne) : ngay jàng ci moom walla nga dëkk ak moom walla nga bokk ak moom di lekk, bul toogandook moom cib lal it",wo
"Saa su Yàlla defee nga toogandook moom na nga ko def cig wegeel akug dal akug xeebu akug watandiku, te bul di tafu ci kawam, bul toog it ci kanamam Yaw mbokk mi rikk, bu ko tàllal sab tànk boo toogee ci moom, te deel damm sab gis wëlif ko, maanaam bul ko di faral di xool rekk Saraa Mu bëgg a wax ne : bokk na ci teggin yu rafet nga bañ a toogandook ku la mag ci lu dul lu manul a ñàkk, ngir jàng mbaa dëkk ak moom walla di lekkandook moom añ",wo
"Boo toogeek moom it na nga ko def cig wegeel akug dal akug xeebu ak wattandiku",wo
"Bul di ko ñóoxu mbaa nga koy tàllal ab tànk, bu ko di ja tam, bul di baril di gëstu ci lu dul aajo, ndax loolu ci màndargay ag ndof la",wo
"“neel jullit ñi ñu dam seenub gis” loolu moom lay junj ci waxam jii di ñëw :Bul di baril looy geestu fu nekk, te dara ñoru la ci geestu gi",wo
"Ndax loolu kat màndargam ndof la, te boo demee ci téereb Yàlla bi di nga fa gis: “neel jullit deel topp ndigali Boroom mbindéef yi, ndax kat nekk na ci addiis yi",wo
"Waay de sànkoo na ci bennub xool rekk",wo
"Ab woykat de waxoon na bu yàgg ne : booy def loo gis xool ko danga ci mas a am biskon bul di wëndéel sab gis",wo
"Saraa : Mu namm a wax rekk, war na la nga topp li la sa Boroom digal muy damm sab gis",wo
"Ndax Addiis bi nee na : waay de dana xool benn xool bob xolam dina ci yàqoo nib der di yàqoo ca sébej ga, du ca jariñu mukk",wo
"Woykat ba nee na : yaw de boo sànnee sab gis ngir sa bànneexub xol, bis dina ñëw bob li ngay gis dina la sonal: danga gis lolodoo man léppam (doo man a am lépp) te doo man a muñ rekk ca lenn la, doo man a yam rekk ca xool ba",wo
"Doo ko man a am te doo ko man a muñ, bu ko defee ngay sonn ci loo dul am, te boo ko gisutoon doo ko yittewoo",wo
"Keneen it ne: jàmbaar du mooy kiy aar ay gawaram ca bisub jamante ba, bu xare ba tàkkee, waaye ka damm ab gisam mbaa mu lem ab tànk wëlif ay moy kooku ci jëmmam mooy gawar dëgg bay jàmbaar",wo
"Bul di baril am po, bul di ree lu bari, mbaa ngay baril looy yëngatu ak a defi neen",wo
"Bul di baj-baji mbaa ngay jéem a yëddu lu nëbbu lu mu man a doon: loolu de màndargam tóoy la ak woyofum xel ci ku ko baaxoo",wo
"Boo jekkee nanga dalal say cér, nangay taqook ag noppi ànd ak dëddu ci lug dëddu war, kon de nga jariñu",wo
"Deel muñ ag ηàññ te bu ci toontu kenn, te mel ni na Boroom njàngat la (adiib) waxoon : Wallaay damay romb waa ji mu may xas may jellale naan kii de xam naa ne waxuma, ndax kat xasante ak weddeente bokk nañu ci jikko yi gën a bon niki dóorante",wo
"Bariy ree day ray ab xol, kon rikk néewalal ree yi, ndax nga gërëmloo Boroom bi SaraaMaanaam bokk na ci teggiin yu rafet nga bañ a barili ree, po, ag neen, ag baj-bajeek yëngatu ak a jéem a yëddu lu nëbbu, loolu de ci màndargam tóoy la bokk,ak gàttum xel, na ngay faral a dal boo jekkee (boo toogee) cib jataay tey faral a noppi, ba ñu laaj la, bu boobaa nga tontu ci kàddu gu suufe, walla nga soxlaa laaj dara, bu boobaa nga def ko te yam ca sa soxla rekk, bu ca dolli dara, ndax kat noppi noflaay a ngi ci ak sutura niki ñu ko waxe: nëbbal ayib yi kem li nga man cig noppi, ndax kat ab noflaay a ngi ci noppi ñeel aji noppi ji",wo
"Defal sab toontu boo lottee muy “noppi”, bari na wax joj toontu baa nga ca ag noppi",wo
"Bokk na ci hikma: bu wax doon xaalis noppi di wurus, bu la nit réeree, def la ag ñàkke-teggiin jéllale ko taqoo noppi",wo
"Ni ko woykat bi waxe: amaa na ma romb ku soxat ki, ku yaradiku ki mu may ηàññ, bu ko defee ma fegu te naan kii daal waxut ak man, ηàññante ak weddeente bokk nanu ci jikko yi gën a ñaaw, yi gën a bon, ree ju bari day ray ab xol",wo
"Boo bëggee am sa ngërëmul Boroom, néewalali ree, Yàlla ci jëmmam",wo
"moo ne : “nañuy ree lu néew”",wo
"Boo toogee ak ku la mag booy ree nangay yam ci muuñ",wo
"Booy wax ak moom it bul bayliku ( ëppal ci wax ji), ndax loolu du lu rafet",wo
"Noppil ba nga gis mu bëgg a wax ak yaw, bu boobaa yamal ca la mu soxla ci yaw",wo
"Loolu kat moo di ay teggin, kon jëfe ko cig wàllam",wo
"Bu la béccingalee, muñal béccingalam yooyu, bu defee lu jaaduwul suturaal ko",wo
"Bul dañ di ko jéggalu, te bu ko di mere it",wo
"Bu koy faral di ja (jëmale ko say gët , samp ko ko rekk) ci waxtu wu nekk SaraaBokk na ci teggin yu rafet nga bañ di ree ci jataayub ku la mag ndare muuñ, nga bañ di wax ak moom cig bayliku, maanaam ëppal ci wax ji, lu ñor nga wax ak lu ñorul, moom daal na nga yam ci li mu soxla ci yaw, bu boobaa doxal nga ay teggin ci moom",wo
"Bu la defee lu jaaduwul jéggal ko, te di ko jéggalu, bul ko di faral di xool xool bu metti, ndax loolu duy teggin",wo
"Boo bëggee juge ca jataay ba, na nga ko defe cig tëyyewu (tëyye sa bopp ba suuf du jug pënd du jeqiku)",wo
"Bu léen xëpp suuf si ci seeni kanam ndax loolu wuute na ak ag jub",wo
"Boo ko manee bul di nelaw ci biiru nit ñu nelawul ndax kat loolu duy teggin, ngir ne am na lu ci nekk lu man a waral ag yeddeel: kuy nelaw man ngaa ngelawal te doo ko yëg",wo
"SaraaBokk na ci teggiin yu rafet nga bañ a jeqi pënd boo toogee ci jataay bay jug, boo nammee jug , def ko ci ag dal akug tëyyewu, te bul jaar ci kanamu way jekki yi",wo
"Bokk na ci ay teggiin nga bañ di nelaw ci digg ay way yewwu boo ko manee, ndax amaa na ngelaw génn ci yaw te doo ko yëg, ndax bët ay saañu ag suuf (bën-bënu aw taat)",wo
"Na nga xam ne fuqale bokk na ci liy waral gàcce ak yeddeel",wo
"Képp ku aj yitteem ci lekk ak séy na xam ne boole na lépp luy toroxte",wo
"Lekk dee ci jël lu lay dëgëral ba nga man a jaamu sa Boroom te yam ca",wo
"Deel wattandiku jamono ju nekk fuqale ndaxte mooy cëslaayu wépp ay",wo
"Saraa: Bokk na ci ay teggiin ñàkk a fuqale ak ñàkk a aj sa yitte jépp ciw ñam, loolu de cig suufe la te day waral ag ηàññ",wo
"Woykat ba nee na: yaw de foo fi joxe sa biir li mu la laaj ak sa pëy, di nanu àgg fa mbooleem toroxte ya yam",wo
"Sab loxo na nga ko tëyye, bul ci di baril am po, ndax loolu de ayib la",wo
"Bul jottaliku mukk loo làqul njariñ lu la man a jegeel sa BoroomPages: Category: Diine'",wo
"Seetal Fii« Filosofi ci wolof : A ni aada »aada j",wo
": aada mooy mbooleem matukaay yi am mbooloo, gën gaa bare, aw askan di tegtaloo cig jëf, di ca xàjj lu bon ak lu baax",wo
"Matukaay yooyu ñooy doon tegtal yiy ommat nit ki ci yoon wi muy jëflanteek yeneen mbindeef yi ak càkkeef gépp",wo
"Kon aada, du loo xam ne ci coobare boppam la ko way di nàngoo topp mbaa mu jalgati ko",wo
"Ndax tëral yi ci biir aada, ñaare, ca cosaan la ñiy lawe, di meññ ba yegsi ci jamono",wo
"Aada ci fànn dund gépp lañu ko mën a ràññee ci ab → sosiete, moo xam ci → kurél yi ñuy sàmp la, ci wàllu → politig, koom-koom, yoon mbaa diine la",wo
"Mën nañoo wax ba tey ne aada mooy dig bi aw askan di màndargaale li mu moom ak li mu moomul, li mu caadawoo ak li mu àbb",wo
"Looloo tax askan wu nekk am aada yu mu moomal boppam, yu mu jéggaaniwul : kon aada dafa bare te bokkul",wo
"Wante aada itam sangoowul der bu teref, ba dara lu bokkul ca moom ca cosaan du ca mën a rax",wo
"Nde ni jamono di doxee noonu la aada itam di doxe, di ko soppeekoo, ay tëral yu yees di ca juux, am yeneen yu ña cay xent",wo
"Ci kow loolu la aada yu bari di jaar ci yoonu diine, soppi lu bare ca na ñu daan ràññalee mbaax ak mbon ginnaaw ba askan woowa tuubee, topp weneen yoonu diine",wo
"Ba léegi, ay askan nu ñu gën a jegeente ca seen cosaan, noonu la seeni aada di gën a niroo",wo
"Seex Anta Jóob wone na ci téereem yu bari, ni réewu Afrig yi seeni aada róofoo ca cosaanu maam ya jamonoy Buur-Fari ya woon Misira démb ba tey jii",wo
"Ci wàllu nekkandoo, aada bokk na ci liy fas te di gën a dëgëral li am mbooloo mbaa aw askan bokkandoo",wo
"Kon aada, ndonte kon wuute na ak yoon, ci natt yi miy teg ñiy jalgati ay tëralam, ci kenu yiy téye ab sosiete la bokk",wo
"Wante meññeefu aada, maanaam njëriñ li mu làmboo ci jamono jii, mu ngi aju ci ni aada ji di soppeekoo ànd kook li jamonooy laaj",wo
"Bu ñu koy seet tey day mel ni matukaay yi mel ni waccoo ak yelleefi doomu aadama, sàmp nguur ci kow yoon, sàkku yokkute ci tawféexu nit ñi, dakkal xare ak faat bakkan cig neen, ay ponk lañu yu aada yépp ci àddina war a mën a ànd",wo
"lëf ki, walla xew-xew bi nga xam ne lëf keneen ka, xew-xew beneen ba ca moom la aju, maanaam su amul loola du mën a am, mbaa deesu ko mën a xam",wo
"Ci fànnu losig walla jaduteef, mën nañoo faramfàcce mbir mi nii :Dees nay wax ne ajeel sangam lu war la, su fekkee ne lëf sangam cig gàttal) su amee, te ci kow mu am doŋŋ la lëf ka muy jur walla njureel la (cig gàttal) di ame",wo
"Su ñu ko baamtuwaatee màndargaay wax jooju lii la : su fekkee ne te su fekkee ne doŋŋ L ci lay N di ame",wo
"Ab ajeel mën naa itam mat sëkk, su fekkee ne su L amul N du am, maanaam su dee kon",wo
"Mën nañoo tënke ci loolu ne : su dee L ajeel bu war la ngir N, kon itam ba léegi N ajeel bu mat sëkk la, ndax su dee ci kow L am doŋŋ lay N di amee kon su L amul N itam du am",wo
"Ab ajeel bu war te mat sëkk kon lii lay tekki : ci kow ajeel boobu nekk doŋŋ la ajeel ba ca des di mën a nekke",wo